,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
8515,25857,,UNITED TYPOTHETOE OF PHILADELPHIA,BANQUET TO THE TYPOTHETOE OF AMERICA,PROF;,UNION LEAGUE OF PHILADELPHIA,6 PAGE BOOKLET;ILLUS;5.25X7;,8TH ANNUAL CONVENTION,MENU IN FRENCH;WINES LISTED FOR EACH COURSE;SEPARATE PAGES FOR PROGRAM;OFFICERS;TOASTS & COMMITTEE MEMBERS;,1894-091,,,1894-09-21,United Typothetoe Of Philadelphia,,,,complete,12,20
15288,32902,The Biltmore,The Biltmore,,,,28x18cm folded; 28x36cm open,,menu ripped in half,1917-0642_wotm,,,1917-11-22,The Biltmore,,Dollars,$,complete,4,158
943,13721,,NIPPON YUSEN KAISHA - S.S.KOBE MARU,TIFFIN,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS BORDER; 5.25 X 7.75;,,MENU HANDWRITTEN;,1900-4654,,,1900-10-10,Nippon Yusen Kaisha   S.S.Kobe Maru,,,,complete,2,20
661,13306,,HOTEL DU MUSEE,DAILY MENU,COMMERCIAL,"WATERLOO, BELGIUM",FOLDER; ILLUS; 5.5 X 8;,,PRICED MENU; DRAWING OF HOTEL; PLACE HANDWRITTEN; NOTATIONTHA MENU IS FROM GEO. WILSON ESTATE; BEER;,1901-2117,,,1901-01-01,Hotel Du Musee,,Belgian Francs,BEF,complete,4,69
15356,32971,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,24x15cm,,,1917-0711_wotm,,,1917-11-28,[Restaurant name and/or location not given],,Dollars,$,complete,1,22
8831,26235,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,SS AUGUSTE VICTORIA,FOLDER; 4.5X7.0; ILLUS; COL;,,COVER ILLUS STEAMSHIP AND SAILING SHIP; CONCERT PROGRAM ON REAR COVER;,1900-617,,,1900-01-30,Hamburg Amerika Linie,,,,complete,4,26
17173,35022,Copley-Plaza,Copley-Plaza,,,,,,The Traffic Club,1913-0249_wotm,,,1913-03-07,Copley-Plaza,,,,complete,36,15
6088,22824,,LOBSTER CLUB,DINNER IN HONOR OF CORNELIUS FERGUESON,SOC;,"FORT LOWRY HOTEL, BATH BEACH, NY",FOLDER; ILLUS; COL; 4.5 X 6.5;,COMPLIMENTARY/TESTIMONIAL,"BEER AND CHAMPAGNE, ENTERTAINMENT; ILLUSTRATION OF GREEN LOBSTER;",1905-751,,,1905-10-14,Lobster Club,,,,complete,4,10
7423,24481,,B.P.O.ELKS NO. 187,DINNER TO SR. DON MIGUEL AHUMEDA,SOC;,"EL PASO, TX",FOLDER; ILLUS; COL; 5 X 6.75;,COMPLIMENTARY/TESTIMONIAL,"COCKTAILS, AND WINES WITH EACH COURSE; ORNAMENTAL FLAG AND ELK'S HEAD;",1907-223,,,1907-02-15,B.P.O.Elks No. 187,,,,complete,4,22
9250,26702,,Tadich Grill,,RESTAURANT,Tadich Grill; 545 Clay Street,Folder; 7 x 12 inches,,Dieter Zander Collection; one of California's oldest enterprises; short history.,Zander 504,,,1964-03-30,Tadich Grill,,Dollars,$,complete,3,210
12732,30276,,Waldorf Astoria,,,,21x14cm folded; 21x28cm open,,Annual Advertising Awards Presentation Dinner,1939-0037_wotm,,,1939-02-15,Waldorf Astoria,,,,complete,3,14
9740,27212,,Wester Retail Lumbermen's Association,dinner,"OTHER,Club",San Francisco Commerical Club,9 x 6 in. ; ill.,"OTHER,Conference","Includes event program. Photographic illustrations : The Lumberman's Building and House of Hoo Hoo, Enterance to Court of The Four Seasons.",Soete 48,,,1915-02-19,Wester Retail Lumbermen's Association,,,,complete,8,14
7684,24826,,ROYAL POINCIANA HOTEL,LUNCHEON,COM,"PALM BEACH,FLA.",BROADSIDE; HOTEL EMBLEM; 4 X 7.5;,,,1901-611,,,1901-03-08,Royal Poinciana Hotel,,,,complete,2,71
12951,30499,,Great White Fleet,,,,20x15.5cm folded; 20x30.5cm open,,,1941-0046_wotm,,,1941-08-09,Great White Fleet,,,,complete,3,52
13006,30554,,Den Gyldene Freden,,,,19x24cm folded; 19x48cm open,,Arthur H. Rumpf Menu Collection,1937-0028_wotm,,,1937-01-01,Den Gyldene Freden,,Swedish kronor (SEK/kr),SEK,complete,4,150
3367,19697,,,,,,,,,,,,1900-02-15,Red Star Line,,,,complete,2,16
14580,32185,private residence of Mayor Jas. H. Preston,private residence of Mayor Jas. H. Preston,,,,15x10cm,,,1916-0100_wotm,,,1916-07-13,private residence of Mayor Jas. H. Preston,,,,complete,2,30
10,12473,,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"[NEW YORK, NY]",CARD; ILLUS; COL; 4.25X5.5;,,HOTEL CREST IN BLUE;,1900-2843,,,1900-04-17,Hotel Marlborough,,,,complete,2,19
4996,21432,,CAFETERIA LUNCH,DAILY MENU,COMMERCIAL,"57 BROAD STREET, NY",FOLDER; ILLUS; 5.75 X 9.25;,,PRICED MENU; HANDWRITTEN DAILY SPECIALS; DRAWING OF MOOSE ON BACK COVER;,1900-791,,,1900-02-07,Cafeteria Lunch,,Dollars,$,complete,4,114
16594,34256,Seelbach Hotel,Seelbach Hotel,,,,20x15.5cm,,,1914-0958_wotm,,,1914-10-08,Seelbach Hotel,,,,complete,9,23
17365,35272,Hotel Knickerbocker,Hotel Knickerbocker,,,,,,The North Carolina Society,1913-0500_wotm,,,1913-05-20,Hotel Knickerbocker,,,,complete,2,18
10011,27494,,Norddeutscher Lloyd Bremen,Lunch ˆ La Carte,,,,,,1910-982,,,1910-03-19,Norddeutscher Lloyd Bremen,,,,complete,1,136
1750,15265,,,,,,,,,,,,1900-09-10,Toyo Kisen Kaisha   Ss Hong Kong Maru,,,,complete,2,37
10466,27952,,"Conrad's Salon   Waldorf Astoria Hotel (New York, N.Y.)",,,,23x18cm folded; 23x35.5 open,,,1974-0002_wotm,,,1974-02-26,"The Wine And Food Society, Incorporated, New York",,,,complete,5,15
12045,29567,,"R.M.S. \Queen  Elizabeth\""""",,,,22x13cm ,,,1955-0114_wotm,,,1955-09-24,"R.M.S. \Queen  Elizabeth\""""",,,,complete,1,42
13195,30745,,The Ambassador,,,,24x16cm folded; 24x32cm open,,The Gourmets Society,1935-0057_wotm,,,1935-10-20,The Ambassador,,,,complete,3,9
12642,30185,,[Restaurant Name And/Or Location Not Given],,,,16x10.5 cm,,Arthur H. Rumpf Menu Collection,1939-0137_wotm,,,1939-06-15,[Restaurant Name And/Or Location Not Given],,,,complete,1,9
15885,33520,The Homestead,The Homestead,,,,,,,1915-0259,,,1915-01-01,The Homestead,,,,complete,3,66
4243,20598,,TOYO KISEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4317,,,1900-09-07,Toyo Kisen Kaisha,,,,complete,2,35
12516,30058,,Golden State Limited,,,,25x16.5cm folded; 25x32.5cm open,,Railroad dining car menu,1943-0020_wotm,,,1943-01-01,Golden State Limited,,Dollars,$,complete,3,52
2916,17468,,,,,,,,,,,,1900-02-13,Young's Herald Square Lunch Room,,Dollars,$,complete,4,235
10902,28409,,Alberg Inn,,,,14x11cm folded; 14x21.5cm open,,,1958-0057_wotm,,,1958-09-19,Alberg Inn,,Dollars,$,complete,4,55
15239,32853,Waldorf Astoria,Waldorf Astoria,,,,24x16cm folded; 24x32cm open,,,1917-0154_wotm,,,1917-10-24,Waldorf Astoria,,Dollars,$,complete,4,151
15260,32874,Hotel McAlpin,Hotel McAlpin,,,,26.5x20cm folded; 26.5x40cm open,,,1917-0175_wotm,,,1917-10-27,Hotel McAlpin,,Dollars,$,complete,3,251
5140,21648,,MURO HOTEL,[DINNER],COMMERCIAL,116 WEST 14 ST. NY,BROADSIDE; 4 5 X 7.25;,DAILY,COURSE TITLE IN SPANISH; AVAILABLE FOODS HANDWRITTEN IN ENGLISH;,1900-371,,,1900-01-17,Muro Hotel,,,,complete,2,17
1902,15498,,,,,,,,,,,,1901-05-06,Fifth Avenue Hotel,,,,complete,3,111
17479,35451,Adam's Restaurant,Adam's Restaurant,,,,,,3 images,1913-0682_wotm,,,1913-08-28,Adam's Restaurant,,Dollars,$,complete,3,374
7446,24504,,THE THIRTEEN CLUB,257TH REGULAR MEETING AND DINNER,SOC;,"""LITTLE HUNGARY"" 257 EAST HOUSTON STREET, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.25X6.75;,ANNIVERSARY;,"HUNGARIAN WINE LISTED; MENU IS A REPLICA OF SIMPLIFIED SPELLING BOOK; TOASTS, ENTERTAINMENT, OFFICERS AND DINNER COMMITTEE LISTED;",1906-934,,,1906-12-13,The Thirteen Club,,,,complete,16,13
518,13104,,,,,,,,,,,,1900-03-05,Cunard Line,,Shillings,s,complete,2,101
838,13594,,U.S.M.S ST. PAUL,DINNER,NAV;,EN ROUTE,CARD; 4 X 6.25;,,NAVAL FLAG(?); PRICED WINE LIST ON BACK OF MENU;,1901-1184,,,1901-05-08,U.S.M.S St. Paul,,Dollars,$,complete,2,106
3682,20023,,SOUTHERN PACIFIC COMPANY,BREAKFAST,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,CARD;ILLUS;COL;5.5X8.5;,DAILY;,HANDWRITTEN 1900 IN PENCIL;PRINTED MENU WITH STAMPED ITEMS;ONE OF 4 BREAKFAST MENUS WITH DIFFERENT STAMPED ITEMS;,1900-4843,,,1900-01-01,Southern Pacific Company,,Dollars,$,complete,2,67
9344,26797,,Condi,,RESTAURANT,Condi,Booklet; 4 x 8.25 inches,,Dieter Zander Collection; cover is velvet textured.,Zander 352 undated,,,,Condi,,Deutsche Marks,DM,complete,4,101
4656,21041,,PROFILE HOUSE,DINNER,COMMERCIAL,"FRANCONIA NOTCH NH,",CARD; COLOR; ILLUS; 4.5 X 7;,,PINK; GOLD CREST;,1895-148,,,1895-09-01,Profile House,,,,complete,2,52
10110,27593,,Norddeutscher Lloyd Bremen,Lunch,,,,,,1910-868,,,1910-03-15,Norddeutscher Lloyd Bremen,,,,complete,4,10
7152,24142,,TAMPA BAY HOTEL,LUNCHEON,COMMERCIAL,"TAMPA, FL",CARD; ILLUS; COL; 4.5X6.75;,,HOTEL SEAL AT TOP;,1901-536,,,1901-03-02,Tampa Bay Hotel,,,,complete,2,43
828,13584,,HOTEL MANHATTAN,THANKSGIVING DINNER,COMMERCIAL,"MADISON AVE & 42ND ST,NY",CARD;ILLUS;6X9.5;,SECULAR HOLIDAY;,,1900-4947,,,1900-11-29,Hotel Manhattan,,Dollars,$,complete,2,180
7288,24310,,HAFNIA LIFE INSURANCE,[DINNER],[COM},COPENHAGEN,CARD;4X6.5;,?,MENU IN LATIN;,1894-095,,,1896-09-04,Hafnia Life Insurance,,,,complete,2,19
11525,29040,,"Restaurante \A Quinta\""""",,,,25x18cm  ,,,1964-0045_wotm,,,1964-01-01,"Restaurante \A Quinta\""""",,Escudos,$,complete,2,49
15721,33350,Seaboard Air Line Railway,Seaboard Air Line Railway,,,,,,,1915-0089,,,1915-01-01,Seaboard Air Line Railway,,Dollars,$,complete,4,116
3360,19683,,,,,,,,,,,,1901-08-14,Champlain Hotel,,,,complete,2,43
7399,24454,,GENERAL SOCIETY SONS OF THE REVOLUTION,TRIENNIAL DINNER,PATR;,"DE SOTO HOTEL, SAVANNAH, GA",BOOKLET; ILLUS; 5 X 6.25;,OTHER (ANNIVERSARY),SOLDIER IN UNIFORM (BRITISH?); WINES; FRENCH; BLUE AND GOLD RIBBON; JASPER MONUMENT ON BACK COVER;,1896-084,,,1896-04-20,General Society Sons Of The Revolution,,,,complete,12,25
8207,25478,,AMERICAN HARDWARE MANUFACTURERS' ASSOCIATION AND SOUTHERN HARDWARE JOBBERS'ASSOCIATION,BANQUET,COMMERCIAL,"THE JEFFERSON, RICHMOND, VA",BOOKLET; ILLUS; COL; 5X8;,COMPLIMENTARY/TESTIMONIAL,DRINKS LIST; SPEAKERS; ANTHEMS; FOREST GREEN SUEDE COVER WITH EMBOSSED STEIN AND TWO LONG PIPES; WHITE SUEDE TIE;,1907-594,,,1907-06-13,American Hardware Manufacturers' Association And Southern Hardware Jobbers'association,,,,complete,12,22
6253,23033,,RUTGERS COLLEGE ALUMNI ASSOCIATION OF THE CITY OF NEW YORK,ANNUAL DINNER,EDUC;,"PLAZA, THE",BOOKLET; ILLUS; COL; 5X7.6;,ANNIVERSARY;,"MENU IN FRENCH; INCLUDES A LA CARTE CHAMPAGNE; SPEAKERS, OFFICERS, DIRECTORS LISTED; COLLEGE SEAL ON COVER;",1908-150,,,1908-02-14,Rutgers College Alumni Association Of The City Of New York,,,,complete,10,17
3450,19789,,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"DAMPFER ""BARBAROSSA""",CARD; ILLUS; COL; 5.25X8;,,GERMAN & ENGLISH; ILLUSTRATION OF SMALL BOATS IN HARBOR;,1901-1126,,,1901-05-03,Norddeutscher Lloyd Bremen,,,,complete,2,78
1325,14277,,MAPLEWOOD HOTEL,LUNCHEON,COM,"WHITE MOUNTAINS,N.H.",BROADSIDE; COL; 4.5 X 6.75;,,,1901-2348,,,1901-09-16,Maplewood Hotel,,,,complete,2,39
841,13597,,HOTEL ST. ANDREW,BREAKFAST,COMMERCIAL,"NEW YORK, [NY]",CARD; 6.25X9.75;,,PRINTED MENU WITH SOME ITEMS INSERTED WITH RED INK; DATE HAND-WRITTEN [FEB?];,1900-3753,,,1900-06-29,Hotel St. Andrew,,Dollars,$,complete,2,143
16169,33819,Florence Villa,Florence Villa,,,,23x14cm folded; 23x28cm open,,,1914-0276_wotm,,,1914-02-22,Florence Villa,,,,complete,2,36
7983,25208,,HAMBURG AMERIKA LINIE,DINNER,COMMERCIAL,POSTDAMPFER GRAF WALDERSEE,BROADSHEET; 6.75X9.0; ILLUS; COLOR;,,"ILLUS, UPPER/STEAMSHIP; LOWER/MEN PLAYING CARDSIN SALOON; CONCERT PROGRAMM LISTED;",1900-760,,,1900-02-06,Hamburg Amerika Linie,,,,complete,4,24
8850,26258,,NEW YORK ALUMNI ASSOCIATION OF LAFAYETTE COLLEGE,DINNER,EDUC;,WALDORF-ASTORIA HOTEL,BOOKLET; ILLUS; COL; 6X9;,(OTHER - REUNION?);,MENU IN FRENCH; OFFICERS AND COMMITTEE LISTED; MANY SONGS INCLUDED; PHOTOGRAPH OF UNIDENTIFIED MAN ON COVER; CORD ATTACHMENT;,1908-153,,,1908-02-14,New York Alumni Association Of Lafayette College,,,,complete,16,20
11924,29446,,S.S. Liberty,,,,35x27cm folded; 35x54cm open,,,1953-0010_wotm,,,1953-07-10,S.S. Liberty,,,,complete,2,143
15981,33624,The Union League Club,The Union League Club,,,,17x9cm,,,1914-0083_wotm,,,1914-01-22,The Union League Club,,,,complete,1,16
6601,23458,,PENATAQUIT CORINTHIAN YACHT CLUB,THIRD ANNUAL DINNER,SOC;,"HOTEL MANHATTAN, [NY]",FOLDER; ILLUS; COL; 5 X 7;,ANNIVERSARY;,ORNAMENTAL BORDER; RED AND BLUE CLUB CREST;,1899-161,,,1899-02-01,Penataquit Corinthian Yacht Club,,,,complete,4,20
10434,27920,,Henry Thiele At The Dunes,,,,33x21.5cm,,,1973-0028_wotm,,,1973-06-14,Henry Thiele At The Dunes,,Dollars,$,complete,1,54
5287,21836,,CIE GLE TRANSATLANTIQUE,"DAILY MENU, DINNER",COMMERCIAL,"ABOARD PAQUEBOT ""LA TOURAINE""",CARD; ILLUS; COL; 6 X 8;,,MOET & CHANDON CHAMPAGNE LISTED; MENU IN FRENCH AND ENGLISH; PHOTOS OF STEAMER AND CATHEDERAL;,1907-348,,,1907-04-06,Cie Gle Transatlantique,,,,complete,3,36
5587,22200,,THE NEW YORK QUICK LUNCH RESTAURANT,SPECIAL BREAKFAST,COMMERCIAL,"1515 BROADWAY, [NEW YORK, NY]",BROADSIDE; 5.5X9.0;,,"""QUICK LUNCH RESTAURANT"" AND ADDRESS HAND-WRITTEN [FEB];",1900-585,,,1900-01-29,The New York Quick Lunch Restaurant,,Dollars,$,complete,2,36
2228,15924,,,,,,,,,,,,1900-12-14,Columbia College Students,,,,complete,23,21
8452,25783,,OAK BLUFFS CLUB,DINNER,COMMERCIAL,"BUFFALO,NY",CARD;4.5 X 6.5;,,INCLUDES WINES,1890-088,,,1890-09-06,Oak Bluffs Club,,,,complete,2,18
14050,31642,,Pennsylvania Railroad,,,,25.5x11.5cm folded; 25.5x23cm open,,Dining Car menu,1926-0001_wotm,,,,Pennsylvania Railroad,,Dollars,$,complete,4,152
1439,14487,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"DAMPFER ""KRONPRINZ WILHLEM""",CARD; ILLUS; COL; 5.5X8;,,"GERMAN & ENGLISH; ROCKY COASTLINE, STEAMSHIP IN DISTANCE, SMALL ROWBOAT IN FOREGROUND; POSTCARD ON BACK;",1901-2476,,,1901-10-07,Norddeutscher Lloyd Bremen,,,,complete,2,69
3140,18825,,,,,,,,,,,,1901-09-01,Union Pacific Dining Car Service,,Dollars,$,complete,2,26
7027,23985,,NEW ROCHELLE BOARD OF TRADE,FIRST ANNUAL DINNER,,"NEW ROCHELLE, NY",BROADSIDE; COL;3.75X5.75;,,,1899-394,,,1899-04-28,New Rochelle Board Of Trade,,,,complete,2,17
6316,23106,,?,DINNER FOR JOSEPH AUGUST?,,,CARD; 4.25 X 6.75;,COMPL?;,GERMAN; CREST; DETAILS OF SPONSOR AND EVENT ARE HANDWRITTEN ON REVERSE BUT DIFFICULT TO READ; JOSEPH AUGUST MAY HAVE BEEN A POLICE OFFICER;,1899-580,,,1899-09-23,?,,,,complete,2,9
6954,23894,,THE GRAND,(DAILY MENU),COM,"PUEBLO,COLORADO",CARD; 3.5X5.5,,,1889-076,,,1889-09-26,The Grand,,,,complete,2,27
7010,23961,,FIFTH AVENUE HOTEL,DINNER,COMMERCIAL,NEW YORK,BROADSIDE; 5.5 X 8.5;,,INFORMATION WRITTEN BY FNB;,1897-223,,,1897-07-04,Fifth Avenue Hotel,,,,complete,2,72
16685,34353,Waldorf Astoria,Waldorf Astoria,,,,25x19cm folded; 25x38cm open,,The New England Society in the City of New York,1914-1055_wotm,,,1914-12-22,Waldorf Astoria,,,,complete,4,18
16793,34482,League Building,League Building,,,,15x12cm folded; 15x24cm open,,Business Men's Association,1913-0105_wotm,,,1913-01-27,League Building,,,,complete,8,25
10844,28351,,The West Side Express,,,,21.5x14cm folded; 21.5x28cm open,,,1984-0012_wotm,,,,The West Side Express,,Dollars,$,complete,3,50
865,13626,,NEW YORK PRESS CLUB,MENU,PROF;,"NEW YORK, NY",FOLDER; ILLUS; COL; 6.5X8.5;,DAILY;,A LA CARTE MENU; INCLUDES PRICED WINE LIST; BORDER ON MENU;,1901-1021,,,1901-04-26,New York Press Club,,Dollars,$,complete,4,295
8594,25950,,RED STAR LINE,DINNER,COMMERCIAL,ENROUTE S.S.ZEELAND - EAST BOUND,BROADSIDE; ILLUS; COL; 5.5X8;,DAILY,MUSIC PROGRAM ON BACK;,1905-558,,,1905-07-09,Red Star Line,,,,complete,2,27
2426,16531,,PACIFIC MAIL STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS CITY OF PARA,BROADSIDE; 5.75X8.75;,,TWO COPIES;,1900-3292,,,1900-05-16,Pacific Mail Steamship Company,,,,complete,2,23
12782,30326,,[Restaurant Name And/Or Location Not Given],,,,15.5x10cm,,,1939-0087_wotm,,,1939-01-01,[Restaurant Name And/Or Location Not Given],,,,complete,1,13
42,12506,,BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,4,336
9538,27004,,Taillevent,,"FOREIGN,RESTAURANT","restaurant Taillevent, France","Folder, paper, 19.5 x 12.25 inches",,Dieter Zander Collection; menu items begin on front cover; extensive wine and champagne list inside folder; dessert list on back cover,Zander 661,,,1977-02-02,Taillevent,,Francs,FF,complete,3,420
11358,28870,,Hardtke,,,,30x16cm folded; 30x32cm open,,,1962-0035_wotm,,,1962-06-23,Hardtke,,Deutsche Marks,DM,complete,5,208
7500,24573,,NEW ENGLAND MANUFACTURING JEWELERS' AND SILVERSMITHS' ASSOCIATION,ANNUAL BANQUET,COMMERCIAL,"INFANTRY HALL, PROVIDENCE, RI",FOLDER; ILLUS; COL; 4.25X6.6;,ANNIVERSARY;,INCLUDES MARTINI COCKTAIL AND WINES SERVED WITH INDIVIDUAL COURSES; SPEAKERS; ASSOCIATION SEAL ON COVER;,1908-156,,,1908-02-15,New England Manufacturing Jewelers' And Silversmiths' Association,,,,complete,4,25
14505,32109,Café Lafayette,Café Lafayette,,,,32x23cm,,,1916-0024_wotm,,,1916-02-12,Café Lafayette,,Dollars,$,complete,2,212
5153,21664,,AMERICAN PATRIOTIC CLUB,FIFTH ANNUAL DINNER IN HONOR OF BIRTH OF ALEXANDER HAMILTION,PATR;,"THE PORTLAND, PORTLAND, OR",BOOKLET; 5.5 X 8.5;,ANNIVERSARY;,WINE AND CHAMPAGNE; TOASTS;,1906-041,,,1906-01-11,American Patriotic Club,,,,complete,8,11
16354,34007,"A. Wollenhaupt, Jr.","A. Wollenhaupt, Jr.",,,,34x22cm folded; 34x44cm open,,,1914-0710_wotm,,,1914-07-06,"A. Wollenhaupt, Jr.",,Dollars,$,complete,3,378
9664,27135,,Southern Pacific,breakfast,RAILROAD,"Dining Car, Southern Pacific",8 1/2 x 5 1/2 in. fold. ; ill. col.,,Photographic illustration : Sunken Gardens in Brackenridge Park. Manager : Harry A. Butler. Advertisement: Al Malaikah Temple.,Soete 109,,,,Southern Pacific,,Dollars,$,complete,3,116
3556,19895,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.KOBE MARU,BROADSIDE; ILLUS; COL; 5.5X7.5;,DAILY MENU;,HANDWRITTEN; RED BORDER;,1900-4738,,,1900-10-18,Nippon Yusen Kaisha,,,,complete,2,20
14266,31862,,Hotel Commodore,,,,36x26cm folded; 36x52cm open,,New York Commercial - The National Business Newspaper,1921-0043_wotm,,,1921-05-23,Hotel Commodore,,,,complete,14,15
13817,31407,,[Restaurant Name And/Or Location Not Given],,,,28x21.5cm,,,1933-0315_wotm,,,1933-05-26,[Restaurant Name And/Or Location Not Given],,Dollars,$,complete,1,246
4700,21085,,HOTEL VENDOME,"DAILY MENU, DINNER",COMMERCIAL,"BOSTON, MA",FOLDER; 4.5X7;,,,1905-714,,,1905-09-26,Hotel Vendome,,,,complete,4,44
1616,14896,,,,,,,,,,,,1900-05-01,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,99
4673,21058,,BROOKLYN BAR ASSOCIATION,RECEPTION & DINNER,PROF;,"POUCH GALLERY, THE, BROOKLYN, NY",FOLDER; 5X7.25;,OTHER (POSSIBLY A SPECIAL OR ANNUAL EVENT);,FRENCH; TOASTS; WINE LIST APPEARS TO HAVE BEEN TORN OFF MENU; DINNER & RECEPTION COMMITTEES LISTED;,1901-515,,,1901-02-27,Brooklyn Bar Association,,,,complete,4,27
594,13222,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1693,,,1901-06-20,Oceanic Steamship Company,,,,complete,2,38
13384,30944,,Donahoe's,,,,34.5x25cm,,,1938-0117_wotm,,,1938-08-25,Donahoe's,,Dollars,$,complete,2,247
10166,27649,,Norddeutscher Lloyd Bremen,Lunch A La Carte Held By Nordeutscher Lloyd Bremen At On Board Ss 'Kaiser Wilhelm Der Grosse',,,,,,1910-757,,,1910-03-11,Norddeutscher Lloyd Bremen,,,,complete,1,134
9216,26668,,Hotel Frankfurter Hof,,"HOTEL,RESTAURANT",Frankfurter Stubb,Folder; 5 x 9 inches,,Dieter Zander Collection.,Zander 254,,,,Hotel Frankfurter Hof,,Deutsche Marks,DM,complete,4,13
6542,23380,,R.M.S.MAJESTIC,BREAKFAST,COMMERCIAL,,CARD;ILL;COL;3.25X5;,DAILY;,,1899-488,,,1899-07-03,R.M.S.Majestic,,,,complete,2,27
17163,35008,Waverly Hotel,Waverly Hotel,,,,,,menu is also printed in Afrikaans (?),1913-0235_wotm,,,1913-02-28,Waverly Hotel,,,,complete,3,28
1942,15547,,,,,,,,,,,,1901-05-08,Sphinx Club,,,,complete,2,13
15052,32663,Churchill's,Churchill's,,,,24x13cm,,Wine list with prices on reverse side of the menu.,1917-0019_wotm,,,1917-02-08,Churchill's,,Dollars,$,complete,2,62
6950,23888,,GILLESPIE'S RESTAURANT,DINNER,COMMERCIAL,272 EIGHTH AVE NY;,FOLDER; ILL; COL; 7.5X10,,CENTENNIAL CELEBRATION FLAGS; NOTE ON BACK PRESENTED BY ROD S. DECKER;,1889-041,,,1889-04-29,Gillespie's Restaurant,,Dollars,$,complete,4,264
10657,28160,,Marriott Motor Hotel,,,,26.5x21cm folded; 26.5x42cm open,,,1967-0050_wotm,,,1967-09-25,Marriott Motor Hotel,,,,complete,5,43
7869,25064,,HE,DINNER,COMMERCIAL,,CARD; 5 X 8;,,INITIALS HE ENCLOSED IN RED WREATH; TABLE D'HOTE;,1900-441,,,1900-01-21,He,,,,complete,2,32
8946,26382,,Scott's Restaurant Limited,,RESTAURANT,Scott's Restaurant,Folder; 8.25 x 11 inches,,"Dieter Zander Collection; cover is an image of Scott's Restaurant as it probably looked in 1658; back is the ""Story of Pickadilly.""",Zander 47,,,1961-03-25,Scott's Restaurant Limited,,,,complete,3,223
16191,33842,Hotel Astor,Hotel Astor,,,,17x11cm folded; 17x22cm open,,Ancient Lodge 724 Free and Accepted Masons,1914-0299_wotm,,,1914-02-28,Hotel Astor,,,,complete,4,75
11460,28974,,The Green Spring Inn,,,,33x22cm folded; 33x43cm open,,,1963-0053_wotm,,,1963-09-21,The Green Spring Inn,,Dollars,$,complete,4,257
1171,14089,,INTERNATIONAL HOTEL,LUNCHEON,COM,"NIAGARA FALLS,NY",BROADSIDE; HOTEL EMBLEM; 5.5 X 8.5;,,HANDWRITTEN NOTE ON THE BACK BY LEWIS L.JUDD;,1901-2271,,,1901-09-05,International Hotel,,,,complete,2,40
11068,28576,,The Russian Tea Room And Café,,,,32x25cm folded; 32x60cm open,,,1985-0012_wotm,,,1985-04-17,The Russian Tea Room And Café,,Dollars,$,complete,4,115
14551,32155,Hotel McAlpin,Hotel McAlpin,,,,25.5x18cm folded; 25.5x36cm open,,,1916-0070_wotm,,,1916-04-30,Hotel McAlpin,,,,complete,3,15
1417,14437,,HOTEL LANGWELL,"DAILY MENU, DINNER",COMMERCIAL,"ELMIRA, NY",CARD; ILLUS; 5.5X7;,,,1907-1068,,,1907-12-14,Hotel Langwell,,,,complete,2,39
3628,19968,,U.S.M.S ST. PAUL,LUNCHEON,NAV;,EN ROUTE,CARD; 4 X 6.25;,,NAVAL FLAG(?); PRICED WINE LIST ON BACK OF MENU;,1901-1205,,,1901-05-09,U.S.M.S St. Paul,,Dollars,$,complete,2,89
12634,30177,,Waldorf Astoria,,,,20x14cm folded; 20x28cm open,,American Iron and Steel Institute,1939-0129_wotm,,,1939-05-25,Waldorf Astoria,,,,complete,7,14
1864,15452,,,,,,,,,,,,1900-10-04,Hotel Schweizerhof Lucerne,,,,complete,2,11
