,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
12810,30355,,The Ice Terrace,,,,28.5x22.5cm folded; 28.5x45cm open,,,1940-0019_wotm,,,1940-10-09,The Ice Terrace,,Dollars,$,complete,3,187
6193,22949,,MEMBERS OF THE ARLINGON CLUB,SUPPER GIVEN TO MR. LOUIS JAMES & MR. FREDERICK WARDE,SOC;,"ARLINGON CLUB, PORTLAND, OR",BOOKLET; COL; 5.25X7.5;,COMPLIMENTARY/TESTIMONIAL,FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; EACH COURSE FOLLOWED BY QUOTATION FROM SHAKESPEARE PLAYS; SILK RIBBON ATTACHMENT;,1899-231,,,1899-03-11,Members Of The Arlingon Club,,,,complete,11,24
10822,28329,,The Bavarian Inn,,,,33x21cm folded;33x42cm open,,,1981-0010_wotm,,,1981-04-01,The Bavarian Inn,,Dollars,$,complete,5,174
16642,34307,Waldorf Astoria,Waldorf Astoria,,,,21.5x13.5cm,,,1914-1009_wotm,,,1914-11-06,Waldorf Astoria,,Dollars,$,complete,2,265
6898,23820,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",FOLDER; ILLUS; COL; 4.5X6.75;,,GERMAN & ENGLISH; ILLUSTRATION OF ATHENS; MUSICAL PROGRAM ON BACK;,1901-698,,,1901-03-19,Hamburg Amerika Linie,,,,complete,4,28
13955,31545,,Hotel Commodore,,,,30x23cm folded; 30x46cm open,,United States Secret Service,1928-0034_wotm,,,1928-03-12,Hotel Commodore,,,,complete,6,20
11570,29085,,Grant's Tavern Restaurant,,,,25.5x16.5cm folded; 25.5x33cm open,,,1961-0012_wotm,,,1961-05-04,Grant's Tavern Restaurant,,Dollars,$,complete,3,45
15482,33098,The Biltmore,The Biltmore,,,,28x18cm folded; 28x36cm open,,,1917-0591_wotm,,,1917-11-20,The Biltmore,,Dollars,$,complete,4,160
17059,34882,N.C.R. Officers Club,N.C.R. Officers Club,,,,,,N.C.R. Officers Club,1912-0604_wotm,,,1912-09-28,N.C.R. Officers Club,,,,complete,5,18
12240,29771,,The White Turkeys,,,,31x20.5cm folded; 31x40.5cm open,,,1945-0031_wotm,,,1945-01-01,The White Turkeys,,Dollars,$,complete,3,94
10801,28308,,The Old Spaghetti Warehouse,,,,22x14cm folded; 22x28cm open,,,1980-0007_wotm,,,1980-12-23,The Old Spaghetti Warehouse,,Dollars,$,complete,4,41
16179,33830,Hotel Baltimore,Hotel Baltimore,,,,23x15.5cm folded; 23x31cm open,,Kansas City Bar Association,1914-0287_wotm,,,1914-02-24,Hotel Baltimore,,,,complete,4,18
9228,26680,,Zum Durnbrau,,RESTAURANT,Zum Durnbrau,Tri-fold; 11.75 x 16.5 inches folded,,Dieter Zander Collection; includes three paper inserts.,Zander 324,,,2005-01-14,Zum Durnbrau,,Euros,€,complete,9,208
2585,16745,,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-2172,,,1900-02-28,Cunard Line,,,,complete,2,101
6947,23885,,BROOKLYN DEMOCRATIC CLUB,ANNUAL DINNER,POL;,"""THE ARGYLE""",BROADSIDE; 3.75X6;,ANNIVERSARY;,,1898-151,,,1898-04-16,Brooklyn Democratic Club,,,,complete,2,18
6498,23327,,TERRACE BOWLING CLUB,TWENTY-SIXTH ANNUAL RECEPTION,SOC;,LEXINGTON OPERA HOUSE [NY],FOLDER; ILLUS; 6 X 6.75;,ANNIVERSARY;,PRICED MENU AND WINE LIST; CHERUB WRITING NAMES ON A BOARD; PLACE IS PROBABLY NY SINCE PRINTER IS IN NY;,1897-019,,,1897-01-21,Terrace Bowling Club,,Dollars,$,complete,4,61
7224,24230,,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,BANQUET,GOVT;,"PARK HOTEL, THE, HOT SPRINGS, AR",FOLDER; COL; 5X7;,COMPLIMENTARY/TESTIMONIAL,INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; TOASTS;,1906-370,,,1906-04-12,International Association Of Chiefs Of Police,,,,complete,4,46
11620,29135,,"T.S.S. \Ocean Monarch\""""",,,,22x17.5cm folded; 22x34cm open,,,1961-0063_wotm,,,1961-07-05,"T.S.S. \Ocean Monarch\""""",,Dollars,$,complete,3,68
8562,25916,,PENNSYLVANIA SOCIETY,"DINNER TO CAPT.T.C.MCLEAN,U.S.N.,COMMANDER U.S.S.PENNSYLVANIA",GOV;,"WALDORF-ASTORIA, NY",BOOKLET;ILLUS; COL; 6X9;,COMPLIMENTARY/TESTIMONIAL,PHOTO OF THE SHIP; LIST OF HONORED GUESTS;,1905-703,,,1905-09-14,Pennsylvania Society,,,,complete,8,26
3676,20016,,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,SS CITY OF RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3622,,,1900-06-13,Pacific Mail Steamship Company,,,,complete,2,21
15698,33323,McKee's Restaurant,McKee's Restaurant,,,,,,,1915-0062,,,1915-01-01,McKee's Restaurant,,Dollars,$,complete,4,7
45,12509,,RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,,,1900-02-20,Red Star Line   S.S.Southwark,,Francs,FF,complete,2,56
